Parameter Name,Value
General Information,
Sample name:,2763
Start of measurement:,03*09*2014 14:41:19
Stop of measurement:,17*09*2014 13:41:19
Duration of Measurements:,13 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,193
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,2
Subaddress:,1
Serial number:,767
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,03*09*2014 14:41:19
Tension top Air Entry Point,15*09*2014 03:41:19
Tension bottom Air Entry Point,16*09*2014 00:11:19
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.364698785375879
Dry soil weight [g]:,378.2
Additional Soil Paramters,
Density [g/cm3]:,1.52
Porosity [-]:,0.43
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
texture,
plot,
depth,
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
07*09*2014 10:41:19,76.82,90,21.19
07*09*2014 11:11:19,77.08,90.45,21.21
07*09*2014 11:41:19,77.42,90.85,21.24
07*09*2014 12:11:19,77.82,91.28,21.28
07*09*2014 12:41:19,78.2,91.63,21.32
07*09*2014 13:11:19,78.38,92.01,21.35
07*09*2014 13:41:19,78.81,91.85,21.38
07*09*2014 14:11:19,79.06,92.82,21.4
07*09*2014 14:41:19,79.4,92.28,21.43
07*09*2014 15:11:19,79.72,93.96,21.45
07*09*2014 15:41:19,80.16,94.39,21.48
07*09*2014 16:11:19,80.41,95.04,21.51
07*09*2014 16:41:19,80.65,95.59,21.56
07*09*2014 17:11:19,81.05,96.46,21.63
07*09*2014 17:41:19,81.38,96.89,21.71
07*09*2014 18:11:19,81.75,97.87,21.81
07*09*2014 18:41:19,82.08,98.5,21.93
07*09*2014 19:11:19,82.31,98.91,22.03
07*09*2014 19:41:19,82.79,99.72,22.11
07*09*2014 20:11:19,83.15,100.7,22.16
07*09*2014 20:41:19,83.22,99.61,22.18
07*09*2014 21:11:19,83.85,101.89,22.17
07*09*2014 21:41:19,84.34,102.46,22.16
07*09*2014 22:11:19,84.74,102.81,22.14
07*09*2014 22:41:19,85.06,103.46,22.11
07*09*2014 23:11:19,85.48,103.74,22.09
07*09*2014 23:41:19,85.93,104.49,22.06
08*09*2014 00:11:19,86.27,105,22.03
08*09*2014 00:41:19,86.86,105.58,22
08*09*2014 01:11:19,87.14,106.03,21.98
08*09*2014 01:41:19,87.67,106.45,21.95
08*09*2014 02:11:19,88.02,107.07,21.93
08*09*2014 02:41:19,88.56,107.55,21.9
08*09*2014 03:11:19,88.87,108.26,21.88
08*09*2014 03:41:19,89.32,108.65,21.86
08*09*2014 04:11:19,89.86,109.57,21.84
08*09*2014 04:41:19,90.19,110.16,21.81
08*09*2014 05:11:19,90.14,110.78,21.78
08*09*2014 05:41:19,90.95,111.4,21.76
08*09*2014 06:11:19,91.52,111.85,21.73
08*09*2014 06:41:19,91.92,112.82,21.7
08*09*2014 07:11:19,92.43,113.4,21.66
08*09*2014 07:41:19,92.84,114.32,21.63
08*09*2014 08:11:19,93.33,115.02,21.59
08*09*2014 08:41:19,93.86,115.89,21.55
08*09*2014 09:11:19,93.94,116.6,21.56
08*09*2014 09:41:19,94.58,117.8,21.55
08*09*2014 10:11:19,94.98,118.12,21.54
08*09*2014 10:41:19,95.56,119.21,21.55
08*09*2014 11:11:19,96,120.14,21.55
08*09*2014 11:41:19,96.61,120.78,21.55
08*09*2014 12:11:19,96.97,121.64,21.55
08*09*2014 12:41:19,97.2,122.72,21.54
08*09*2014 13:11:19,98.05,123.4,21.53
08*09*2014 13:41:19,98.11,124.13,21.52
08*09*2014 14:11:19,99.05,124.83,21.53
08*09*2014 14:41:19,99.6,125.76,21.53
08*09*2014 15:11:19,99.26,126.29,21.58
08*09*2014 15:41:19,100.11,127.62,21.66
08*09*2014 16:11:19,100.72,128.71,21.71
08*09*2014 16:41:19,101.35,129.76,21.76
08*09*2014 17:11:19,101.84,131.24,21.82
08*09*2014 17:41:19,102.03,132.11,21.92
08*09*2014 18:11:19,102.92,133.96,22.07
08*09*2014 18:41:19,103.12,135.17,22.29
08*09*2014 19:11:19,103.41,136.7,22.89
08*09*2014 19:41:19,104.26,138.13,23.09
08*09*2014 20:11:19,105.06,140.05,23.12
08*09*2014 20:41:19,105.65,141.55,23.07
08*09*2014 21:11:19,106.61,143.12,22.97
08*09*2014 21:41:19,107.23,144.5,22.85
08*09*2014 22:11:19,107.75,146.68,22.72
08*09*2014 22:41:19,108.56,148.78,22.57
08*09*2014 23:11:19,109.63,150.79,22.42
08*09*2014 23:41:19,110.42,152.89,22.28
09*09*2014 00:11:19,111.16,154.59,22.15
09*09*2014 00:41:19,111.81,157.03,22.04
09*09*2014 01:11:19,112.93,159.24,21.93
09*09*2014 01:41:19,113.47,161.37,21.84
09*09*2014 02:11:19,114.47,163.41,21.75
09*09*2014 02:41:19,115.18,165.41,21.66
09*09*2014 03:11:19,116.25,167.76,21.58
09*09*2014 03:41:19,117.21,169.85,21.5
09*09*2014 04:11:19,118.12,172.24,21.43
09*09*2014 04:41:19,119.06,174.17,21.35
09*09*2014 05:11:19,120.12,176.44,21.28
09*09*2014 05:41:19,120.98,178.84,21.22
09*09*2014 06:11:19,121.5,181.12,21.16
09*09*2014 06:41:19,122.9,183.02,21.1
09*09*2014 07:11:19,123.6,185.34,21.04
09*09*2014 07:41:19,124.78,187.83,20.98
09*09*2014 08:11:19,125.8,190.16,20.92
09*09*2014 08:41:19,127.04,192.29,20.86
09*09*2014 09:11:19,128.05,194.51,20.82
09*09*2014 09:41:19,128.56,197,20.9
09*09*2014 10:11:19,129.92,199.44,21.09
09*09*2014 10:41:19,130.97,202.05,21.15
09*09*2014 11:11:19,132.28,203.87,21.16
09*09*2014 11:41:19,133.23,206.26,21.16
09*09*2014 12:11:19,134.54,208.23,21.18
09*09*2014 12:41:19,135.83,210.89,21.19
09*09*2014 13:11:19,136.9,212.87,21.19
09*09*2014 13:41:19,138.46,216.57,21.19
09*09*2014 14:11:19,139.08,220.06,21.4
09*09*2014 14:41:19,139.25,223.14,21.79
09*09*2014 15:11:19,141.15,226.86,22.19
09*09*2014 15:41:19,142.55,229.81,22.5
09*09*2014 16:11:19,144.04,232.75,22.6
09*09*2014 16:41:19,145.11,236.92,22.59
09*09*2014 17:11:19,146.91,239.49,22.5
09*09*2014 17:41:19,148.23,242.91,22.45
09*09*2014 18:11:19,149.93,246.86,22.46
09*09*2014 18:41:19,151.41,250.65,22.51
09*09*2014 19:11:19,153.21,254.28,22.5
09*09*2014 19:41:19,154.64,258.35,22.48
09*09*2014 20:11:19,156.26,261.27,22.43
09*09*2014 20:41:19,158.35,267.33,22.33
09*09*2014 21:11:19,160.28,272.86,22.2
09*09*2014 21:41:19,162.11,278.44,22.05
09*09*2014 22:11:19,163.73,283.45,21.92
09*09*2014 22:41:19,166.1,288.95,21.8
09*09*2014 23:11:19,167.93,294.14,21.7
